NAME,DENSITY,MODULUS OF ELASTICITY
Acetal_Copolymer_unreinforced_low_density,1.14,0.586
Acetal_Copolymer_unreinforced_high_density,1.63,11.7
Acetal_Copolymer_10%_Glass_Fiber_reinforced_low_density,1.2,2.4
Acetal_Copolymer_10%_Glass_Fiber_reinforced_high_density,1.56,8.5
Acetal_Copolymer_20%_Glass_Fiber_reinforced_low_density,1.25,3.4
Acetal_Copolymer_20%_Glass_Fiber_reinforced_high_density,1.68,12
Acetal_Copolymer_30%_Glass_Fiber_reinforced_low_density,1.35,3.7
Acetal_Copolymer_30%_Glass_Fiber_reinforced_high_density,1.67,12
Acetal_Copolymer_Impact_modified_low_density,1.07,0.8
Acetal_Copolymer_Impact_modified_high_density,1.41,2.45
Acetal_Copolymer_Glass_Bead_Filled_low_density,1.47,2
Acetal_Copolymer_Glass_Bead_Filled_high_density,1.88,8.96
Acetal_Copolymer_Silicone_Filled_low_density,1.29,2.25
Acetal_Copolymer_Silicone_Filled_high_density,1.62,2.9
Acetal_Copolymer_Carbon_Fiber_Filled_low_density,1.4,2.4
Acetal_Copolymer_Carbon_Fiber_Filled_high_density,1.58,23.4
Acetal_Copolymer_Mineral_Filled_low_density,1.2,2.9
Acetal_Copolymer_Mineral_Filled_high_density,1.73,7
Acetal_Copolymer_PTFE_Filled_low_density,1.35,0.965
Acetal_Copolymer_PTFE_Filled_high_density,1.85,3.4
Acetal_Copolymer_Glass+PTFE_low_density,1.49,3.1
Acetal_Copolymer_Glass+PTFE_high_density,1.82,11.7
Acetal_Homopolymer_Unreinforced_low_density,1.34,1.93
Acetal_Homopolymer_Unreinforced_high_density,1.67,3.72
Acetal_Homopolymer_Unreinforced_Impact_Grade_low_density,1.35,1.6
Acetal_Homopolymer_Unreinforced_Impact_Grade_high_density,1.42,3.23
